,A1, A2, A3, A4, A5, A6, A7, A8, A9,y
103,76,0,80,-1,-40,0,4,121,118,0
104,80,0,84,1,-36,16,5,121,116,0
105,82,0,85,0,-6,2,3,93,90,0
106,105,0,106,0,70,-30,1,36,36,0
107,104,0,106,-1,70,-2,1,36,34,0
108,103,1,104,8,70,0,1,35,34,0
109,82,-1,86,0,-2,2,4,88,84,0
110,85,0,88,0,2,4,3,86,82,0
111,84,0,88,0,0,25,3,88,84,0
112,104,-5,106,0,72,0,1,33,32,0
113,79,0,83,-4,-40,0,4,125,120,0
114,75,-4,79,-4,-42,-30,4,123,120,0
115,81,5,86,2,-40,8,4,127,122,0
116,82,-1,86,1,-2,4,4,88,84,0
117,78,0,83,4,-42,0,4,126,122,0
118,104,1,106,1,72,6,1,33,32,0
119,86,5,89,0,2,-14,3,86,84,0
120,102,0,102,0,70,0,1,33,32,0
121,80,-1,84,0,-36,0,5,121,116,0
122,106,5,107,-1,70,-1,1,37,36,0
123,106,0,108,-3,70,-4,1,38,36,0
124,81,0,86,1,-24,-13,4,112,108,0
125,80,0,84,0,-40,21,4,125,122,0
126,81,0,84,4,-14,0,4,100,96,0
127,42,36,77,0,-22,0,36,101,64,1
128,84,0,88,0,0,8,3,88,84,0
129,85,0,88,-6,0,0,3,88,84,0
130,75,0,79,0,-42,0,4,123,120,0
131,79,0,83,0,-30,4,4,114,110,0
132,81,0,84,0,-14,14,3,100,96,0
133,85,0,88,0,0,-14,3,88,86,0
134,77,2,81,1,-40,13,4,123,118,0
135,102,0,103,0,72,26,1,31,30,0
136,76,0,80,0,-40,14,4,121,116,0
137,105,0,106,-3,70,-4,1,36,36,0
138,82,0,85,-2,-2,8,3,88,84,0
139,82,0,86,0,-40,10,4,128,124,0
140,79,0,83,3,-40,15,5,125,120,0
141,107,5,108,-1,70,-2,1,38,36,0
142,106,5,108,0,70,0,1,38,36,0
143,104,0,106,0,72,7,1,33,32,0
144,76,-1,81,0,-40,10,5,122,116,0
145,79,0,83,0,-46,-29,4,130,126,0
146,82,3,86,2,-2,0,3,88,84,0
147,82,0,86,0,-40,13,4,128,124,0
148,79,0,83,0,-28,2,4,112,108,0
149,79,0,84,2,-42,-5,4,128,124,0
150,80,0,84,2,-42,-23,5,128,124,0
151,83,0,87,0,-40,0,4,128,124,0
152,85,0,89,1,6,27,4,84,80,0
153,79,0,83,0,-42,2,4,127,122,0
154,79,1,83,0,-40,16,4,124,120,0
155,105,0,106,0,72,1,1,34,32,0
156,108,0,109,0,72,4,1,36,36,0
157,82,0,85,-2,-6,3,3,93,90,0
158,83,0,86,0,-4,2,3,92,88,0
159,81,1,84,0,-14,1,3,100,96,0
160,81,0,86,8,-40,7,5,127,122,0
161,82,5,86,0,-6,0,3,94,90,0
162,85,0,88,0,2,30,3,86,82,0
163,78,-2,83,0,-46,0,4,129,124,0
164,78,0,82,0,-42,-22,4,126,122,0
165,82,0,85,0,-6,26,3,93,90,0
166,79,1,84,3,-40,2,4,125,120,0
167,80,0,84,0,-42,-12,4,128,124,0
168,84,-3,88,0,6,0,4,83,78,0
169,78,-4,83,0,-46,0,4,129,124,0
170,77,0,81,0,-42,0,4,125,120,0
171,79,-1,83,-2,-40,2,4,124,120,0
172,84,-1,88,-3,6,-9,4,83,78,0
173,83,-3,88,0,6,0,5,83,78,0
174,83,0,87,8,-4,1,4,92,88,0
175,80,0,84,0,-36,-8,4,120,116,0
176,106,0,108,5,70,0,2,38,36,0
177,103,0,104,0,70,0,1,34,34,0
178,104,-1,105,-1,70,-22,1,35,34,0
179,101,0,102,0,72,3,1,29,28,0
180,102,0,102,0,72,31,1,30,30,0
181,84,0,88,0,-2,-30,4,90,86,0
182,82,0,86,0,-10,3,3,96,92,0
183,79,0,83,0,-30,19,4,114,110,0
184,84,-3,88,0,6,0,5,83,78,0
185,81,-2,84,0,-18,0,4,103,98,0
186,85,0,88,-6,6,0,3,83,80,0
187,101,5,102,0,72,14,1,29,28,0
188,102,0,102,0,70,-1,1,33,32,0
189,81,0,86,0,-22,10,4,109,104,0
190,81,3,84,0,-12,17,3,97,94,0
191,80,3,84,0,-42,-18,4,128,124,0
192,81,0,85,-4,-22,0,4,108,104,0
193,101,0,102,0,70,-23,1,32,32,0
194,79,2,83,0,-28,0,4,112,108,0
195,83,0,86,0,-2,29,3,89,86,0
196,105,2,107,4,72,2,1,35,34,0
197,76,0,81,0,-42,-18,5,125,120,0
198,81,-2,85,-4,-40,0,4,126,122,0
199,81,0,85,0,-40,3,4,126,122,0
200,80,0,84,1,-40,14,5,126,122,0
201,81,4,84,1,-20,0,4,105,102,0
202,81,5,84,0,-24,0,4,110,106,0
203,79,-1,83,-10,436,6339,4,-353,-356,0
204,79,-1,83,-13,-6,159,4,91,88,0
205,85,0,89,1,2,-4,4,86,82,0
206,105,1,106,0,70,-2,1,36,34,0
207,77,-3,81,0,-40,0,4,123,118,0
208,79,-4,83,0,-30,0,4,114,110,0
209,76,0,80,0,-42,0,4,124,120,0
210,82,0,85,0,-2,0,3,88,84,0
211,82,0,86,0,-2,8,4,88,84,0
212,79,0,83,0,-38,5,4,122,118,0
213,80,0,84,-1,-40,3,4,125,122,0
214,102,0,103,0,70,-17,1,33,32,0
215,101,0,102,0,72,5,1,30,28,0
216,76,0,79,-7,-40,0,4,121,116,0
217,106,-1,108,0,70,0,2,38,36,0
218,80,-2,84,0,-28,0,4,112,108,0
219,79,-3,83,-4,-40,5,4,124,120,0
220,105,1,106,0,70,-3,1,36,34,0
221,104,-3,106,0,70,-24,1,36,34,0
222,81,2,85,0,-24,0,4,111,108,0
223,82,-1,85,-3,-2,22,3,88,84,0
224,76,0,80,0,-40,17,4,121,116,0
225,78,0,83,7,-42,0,4,126,122,0
226,108,0,108,-6,72,7,1,36,36,0
227,83,5,86,0,-2,0,3,88,86,0
228,102,-4,104,0,70,0,1,34,32,0
229,105,3,106,3,70,0,1,36,36,0
230,71,3,76,8,-42,-11,4,119,116,0
231,81,-1,84,0,-18,0,4,103,98,0
232,82,0,86,0,-40,11,4,128,124,0
233,81,1,85,0,-42,-23,4,129,124,0
234,86,4,89,0,2,-7,3,86,84,0
235,79,0,84,0,-38,0,4,123,118,0
236,81,-2,84,0,-20,23,4,105,102,0
237,79,4,83,1,-42,-23,4,127,122,0
238,106,-5,108,-1,70,0,1,38,36,0
239,80,0,84,0,-20,0,4,105,100,0
240,104,6,105,7,72,11,1,33,32,0
241,105,2,106,1,70,0,1,36,34,0
242,73,9,77,7,-42,-4,4,121,118,0
243,83,4,86,0,-2,0,3,88,86,0
244,101,0,102,0,70,0,1,33,32,0
245,85,0,88,0,0,-22,3,88,86,0
246,101,0,102,2,72,14,1,30,28,0
247,81,0,84,0,-18,-10,3,103,100,0
248,79,0,83,-3,-32,-2,4,117,112,0
249,83,0,86,-1,-4,0,3,92,88,0
250,79,0,84,5,-38,0,4,123,118,0
251,82,0,86,-2,-40,0,4,128,124,0
252,106,-5,108,0,70,-24,1,38,36,0
253,81,0,85,1,-22,0,4,108,104,0
254,76,4,81,0,-42,-16,4,125,120,0
255,82,0,86,0,-10,17,3,96,92,0
256,82,-1,86,0,-12,0,4,99,94,0
257,83,-4,88,0,6,0,5,83,78,0
258,81,0,85,6,-12,1,4,98,94,0
259,105,-3,106,-5,70,0,1,36,34,0
260,79,-5,83,-2,-32,1092,4,117,112,0
261,104,0,106,0,72,3,1,33,32,0
262,104,-4,105,-3,72,1,1,33,32,0
263,78,0,83,6,-42,0,4,126,122,0
264,85,0,88,0,0,-2,3,88,86,0
265,71,-12,76,-9,-40,4,5,117,112,0
266,81,4,84,0,-14,-16,3,100,96,0
267,76,-3,81,0,-42,0,4,125,120,0
268,69,59,82,0,-42,-5,13,126,112,1
269,81,0,86,0,-24,-18,4,112,108,0
270,102,0,102,-1,72,14,1,30,30,0
271,80,0,84,-5,-42,0,4,128,124,0
272,79,-2,83,-3,-40,3,4,124,120,0
273,81,1,84,0,-14,8,3,100,96,0
274,79,0,83,0,-28,7,4,112,108,0
275,103,2,105,9,70,0,2,35,34,0
276,72,-9,76,-8,-40,8,4,117,114,0
277,85,0,88,-45,0,0,3,88,84,0
278,79,0,83,-2,-46,0,4,129,126,0
279,75,4,79,4,-42,0,4,123,120,0
280,76,0,81,-1,-40,10,5,122,118,0
281,79,0,84,0,-40,11,4,125,120,0
282,85,0,88,0,6,2,3,83,80,0
283,78,0,83,1,-40,10,4,124,120,0
284,85,0,88,0,6,11,3,83,80,0
285,105,-1,106,-2,70,0,1,36,34,0
286,79,0,84,7,-6,205,5,92,88,0
287,81,0,85,0,-40,9,4,126,122,0
288,83,0,86,-2,-2,17,3,88,86,0
289,84,2,86,-5,-4,0,3,92,88,0
290,76,0,81,0,-40,16,5,123,118,0
291,76,0,80,-3,-40,0,4,121,118,0
292,105,4,108,0,70,0,2,38,36,0
293,101,0,102,0,70,-4,1,33,32,0
294,77,-3,81,0,-40,73,4,123,118,0
295,68,67,82,0,-42,-6,13,126,112,1
296,75,1,79,8,-42,0,5,123,118,0
297,85,-2,88,0,0,-25,3,88,84,0
298,85,-1,88,0,6,13,3,83,80,0
299,79,0,83,0,-46,-24,4,130,126,0
300,82,0,85,0,-10,-8,3,95,92,0
301,81,1,84,0,-22,-5,3,108,104,0
302,80,0,84,1,-42,0,5,128,124,0
303,77,-4,81,0,-40,0,4,123,118,0
304,105,-5,106,-7,70,0,1,36,34,0
305,102,0,103,0,70,-25,1,33,32,0
306,79,0,83,0,-40,-6,4,125,120,0
307,83,0,86,0,-4,14,3,92,88,0
308,78,0,82,0,-46,0,4,128,124,0
309,82,0,86,-2,-40,9,4,128,124,0
310,102,0,103,0,72,6,1,31,30,0
311,81,0,84,0,-14,-14,4,100,96,0
312,84,0,88,0,-2,-27,3,90,88,0
313,79,-1,83,0,-46,0,5,130,126,0
314,82,2,86,0,-6,0,3,94,90,0
315,81,0,84,0,-20,24,4,105,102,0
316,85,-1,88,0,2,-13,3,86,82,0
317,82,0,86,0,-10,14,3,96,92,0
318,85,0,88,0,2,-29,3,86,82,0
319,82,0,86,2,-12,0,4,99,94,0
320,105,-1,106,-1,70,0,1,36,34,0
321,85,-4,88,0,2,3,3,86,82,0
322,79,0,83,0,-28,16,4,112,108,0
323,83,0,86,-1,-4,10,3,92,88,0
324,80,5,84,0,-38,0,4,123,118,0
325,101,0,102,0,72,11,1,29,28,0
326,71,1,76,4,-42,-5,4,119,116,0
327,82,3,86,0,-40,2,4,128,124,0
328,85,-3,88,0,6,9,3,83,80,0
329,77,0,81,1,-42,0,4,125,120,0
330,79,0,84,1,-42,-3,4,128,124,0
331,78,0,83,8,-42,0,4,126,122,0
332,107,1,108,1,70,-26,1,38,36,0
333,86,4,89,0,6,-18,3,84,80,0
334,81,0,84,0,-14,2,4,100,96,0
335,81,0,84,1,-12,21,4,97,94,0
336,85,4,88,0,0,0,3,88,86,0
337,84,0,88,2,0,1,4,88,84,0
338,106,5,108,1,70,0,1,38,36,0
339,82,0,86,2,-6,4,4,94,90,0
340,104,0,104,-6,72,24,1,32,32,0
341,105,0,107,0,70,0,1,37,36,0
342,106,0,107,0,72,1,1,35,34,0
343,80,0,84,3,-24,5,4,110,106,0
344,105,-3,106,0,70,0,1,36,36,0
345,111,4254,105,0,36,0,-6,69,76,0
346,81,0,84,0,-14,-4,4,100,96,0
347,102,0,103,0,72,10,1,31,30,0
348,82,0,85,-2,-2,6,3,88,84,0
349,82,0,86,0,-22,0,4,109,106,0
350,79,-3,84,0,-32,0,4,117,112,0
351,85,0,88,0,2,10,3,86,82,0
352,82,0,86,1,-6,1,4,94,90,0
353,82,0,86,2,-10,0,4,96,92,0
354,80,2,84,0,-24,26,4,110,106,0
355,104,3,106,6,72,4,1,33,32,0
356,80,-3,84,-5,-42,13,5,128,124,0
357,81,0,84,0,-12,23,4,97,94,0
358,102,0,103,0,70,-13,1,33,32,0
359,102,0,102,-1,70,-5,1,33,32,0
360,104,3,105,0,72,3,1,33,32,0
361,105,-4,106,2,70,0,2,36,34,0
362,104,-5,106,0,70,0,1,36,34,0
363,83,0,86,-2,-4,8,3,92,88,0
364,101,0,102,0,72,10,1,30,28,0
365,84,0,88,0,0,0,4,88,84,0
366,79,0,83,0,-30,5,4,114,110,0
367,81,0,86,0,-22,19,4,109,104,0
368,85,0,88,0,6,12,3,83,80,0
369,78,3,82,0,-42,0,4,126,122,0
370,103,3,104,0,70,0,1,35,34,0
371,79,0,83,1,-42,0,5,127,122,0
372,84,0,88,0,-2,-23,3,90,88,0
373,102,-16,107,0,70,0,5,37,32,0
374,78,1,81,0,-40,114,4,123,120,0
375,82,0,86,0,-6,1,4,94,90,0
376,80,1,84,0,-40,2,4,126,122,0
377,85,0,88,0,6,8,3,83,80,0
378,83,0,86,0,-4,21,3,92,88,0
379,78,1,81,0,-40,142,4,123,120,0
380,79,0,83,-6,-40,0,4,125,120,0
381,104,2,105,3,70,0,1,35,34,0
382,102,0,103,0,70,-16,1,33,32,0
383,104,4,105,5,72,7,1,33,32,0
384,82,-3,86,-1,-4,-11,3,91,88,0
385,102,0,103,1,70,-15,1,33,32,0
386,80,-3,84,0,-36,0,5,121,116,0
387,101,-5,102,0,70,-7,1,33,32,0
388,71,0,75,2,-40,25,4,116,112,0
389,103,-5,104,-4,72,15,1,32,30,0
390,102,1,104,6,70,-3,2,34,32,0
391,76,-2,81,-1,-42,-5,5,125,120,0
392,80,1,84,0,-36,0,4,121,116,0
393,85,0,88,0,2,20,3,86,82,0
394,82,0,86,2,-6,1,4,94,90,0
395,103,1,104,6,70,0,1,35,34,0
396,85,0,88,0,0,-16,3,88,86,0
397,105,-2,108,0,70,0,3,38,36,0
398,82,0,86,0,-12,-8,3,99,96,0
399,85,3,88,0,0,0,3,88,84,0
400,82,0,85,0,-6,12,3,93,90,0
401,83,0,86,0,-6,-17,3,94,90,0
402,77,1,81,0,-40,0,4,123,118,0
403,81,0,84,0,-22,-6,3,108,104,0
404,104,3,106,4,70,0,1,36,34,0
405,80,3,84,0,-38,0,4,123,118,0
406,84,0,88,-1,6,-3,5,83,78,0
407,71,-12,76,-14,-40,6,4,117,112,0
408,104,-3,105,0,72,5,1,33,32,0
409,76,4,80,3,-42,0,4,124,120,0
410,79,0,83,-2,-40,0,4,125,120,0
411,71,2,75,1,-42,-14,4,119,114,0
412,83,-2,86,-1,-4,0,3,92,88,0
413,83,0,86,0,-4,13,3,92,88,0
414,104,-2,106,0,70,0,1,36,34,0
415,101,-1,102,-3,72,-4,1,29,28,0
416,85,0,88,8,0,0,3,88,84,0
417,106,2,108,1,70,0,1,38,36,0
418,107,2,108,4,72,1,1,36,34,0
419,106,0,108,6,70,0,2,38,36,0
420,77,1,81,1,-40,10,4,123,118,0
421,84,0,88,0,0,9,3,88,84,0
422,84,0,87,-1,0,10,3,87,84,0
423,82,0,86,0,-12,-9,3,99,96,0
424,107,5,108,0,70,0,1,38,36,0
425,82,1,85,0,-10,0,3,95,92,0
426,85,0,88,5,6,0,3,83,80,0
427,78,0,82,-1,-42,0,4,126,122,0
428,104,0,106,1,70,-26,1,36,34,0
429,81,0,85,0,-40,11,4,126,122,0
430,82,0,87,3,-40,0,5,128,124,0
431,83,-4,87,4,-4,0,4,92,88,0
432,105,-5,107,0,70,0,1,37,36,0
433,105,0,106,-6,70,0,1,36,34,0
434,83,2,87,0,-40,0,4,128,124,0
435,83,0,86,0,-6,-26,3,94,90,0
436,106,0,107,0,70,0,1,37,36,0
437,85,0,88,0,2,12,3,86,82,0
438,106,2,107,1,70,0,1,37,36,0
439,80,0,84,0,-24,18,4,110,106,0
440,85,0,89,0,2,-3,4,86,82,0
441,101,0,102,0,72,30,1,30,28,0
442,82,1,86,2,-40,3,5,128,124,0
443,80,0,84,4,-24,7,4,110,106,0
444,104,6,106,9,70,0,1,36,34,0
445,105,-5,106,0,70,-30,1,36,36,0
446,104,5,105,6,72,9,1,33,32,0
447,81,0,86,2,-22,21,4,109,104,0
448,79,0,84,0,-40,9,4,125,120,0
449,81,4,84,0,-18,0,3,103,100,0
450,84,0,87,8,-2,0,3,90,86,0
451,85,0,88,0,6,-2,3,83,80,0
452,101,0,102,0,72,38,1,30,28,0
453,76,2,81,1,-42,-24,5,125,120,0
454,79,0,83,-3,-40,0,4,125,120,0
455,79,0,83,0,-32,43,4,117,112,0
456,79,0,84,5,-42,-13,4,128,124,0
457,86,3,89,0,2,-2,3,86,84,0
458,102,0,104,0,70,-13,1,34,32,0
459,107,0,108,-1,72,4,1,35,34,0
460,79,0,83,0,-46,-19,4,130,126,0
461,79,0,83,0,-46,-3,4,130,126,0
462,82,0,86,0,-10,2,3,96,92,0
463,77,6,81,0,-42,-22,4,125,122,0
464,102,0,103,5,70,-21,1,33,32,0
465,105,4,106,1,70,0,1,36,34,0
466,105,1,107,2,72,1,1,35,34,0
467,85,1,88,0,0,-1,3,88,86,0
468,84,-4,88,-6,0,28,3,88,84,0
469,79,2,84,3,-40,2,4,125,120,0
470,80,0,84,-6,-20,1,4,105,100,0
471,80,-1,84,1,-36,0,5,121,116,0
472,83,0,86,-1,-4,4,3,92,88,0
473,106,0,107,0,72,5,1,35,34,0
474,79,0,83,0,-42,-34,4,127,124,0
475,83,0,86,0,-6,-2,3,94,90,0
476,84,0,88,2,0,0,3,88,84,0
477,102,1,103,1,70,-6,1,33,32,0
478,81,2,84,0,-14,0,3,99,96,0
479,71,1,75,0,-42,-9,4,119,114,0
480,79,3,83,0,-42,0,4,126,122,0
481,102,0,102,-1,72,18,1,30,30,0
482,85,0,88,0,6,13,3,83,80,0
483,107,1,108,8,70,0,1,38,36,0
484,83,-3,86,-4,-4,0,3,92,88,0
485,83,0,86,0,-6,-22,3,94,90,0
486,82,0,85,0,-6,11,3,93,90,0
487,102,0,103,1,72,28,1,31,30,0
488,85,0,88,0,-2,-6,3,91,88,0
489,102,0,102,-2,70,-5,1,33,32,0
490,85,3,88,0,2,0,3,85,82,0
491,76,1,81,0,-40,0,4,122,118,0
492,105,0,106,-6,70,0,1,36,36,0
493,80,0,85,3,-40,5,5,126,122,0
494,108,5,109,0,72,11,1,36,36,0
495,83,0,86,0,-6,-20,3,94,90,0
496,101,0,102,0,72,331,1,30,28,0
497,85,0,88,0,2,28,3,86,82,0
498,85,1,88,0,2,0,3,86,82,0
499,104,-2,105,-2,70,0,1,35,34,0
500,79,-3,84,0,-38,0,4,123,118,0
501,84,-1,88,0,0,0,4,88,84,0
502,81,0,84,-4,-14,0,3,99,96,0
503,80,1,84,3,-42,-26,5,128,124,0
504,82,0,86,0,-2,8,3,88,84,0
505,79,0,83,-1,-40,3,4,125,120,0
506,104,0,104,-2,70,0,1,35,34,0
507,78,1,83,2,-40,16,4,124,120,0
508,105,-1,106,-6,70,0,1,36,34,0
509,102,1,103,4,70,0,1,33,32,0
510,102,0,103,1,72,27,1,31,30,0
511,41,33,77,0,-22,0,37,101,64,1
512,85,0,88,-7,6,4,3,83,80,0
513,104,2,106,2,70,0,1,36,34,0
514,85,0,88,0,0,-9,3,88,86,0
515,76,-5,80,0,-40,0,4,121,116,0
516,71,-6,75,-10,-40,2,4,116,112,0
517,81,0,84,0,-14,0,3,99,96,0
518,101,0,102,0,72,21,1,29,28,0
519,105,0,107,1,70,0,1,37,36,0
520,82,-1,86,0,-2,25,3,88,84,0
521,79,0,83,2,-46,0,5,130,126,0
522,82,4,86,0,-6,0,3,94,90,0
523,81,0,84,0,-12,19,4,97,94,0
524,85,-3,89,0,8,0,4,81,78,0
525,81,0,84,0,-20,12,4,105,102,0
526,83,0,86,0,-4,20,3,92,88,0
527,105,2,106,1,70,0,1,36,36,0
528,102,3,104,3,70,-1,1,34,32,0
529,82,0,87,1,-40,5,5,128,124,0
530,76,2,81,-2,-42,0,5,125,120,0
531,82,1,86,0,-22,8,4,109,106,0
532,85,0,88,-1,2,-14,3,86,82,0
533,82,0,86,0,-4,-8,3,91,88,0
534,50,22,79,0,42,0,29,37,8,1
535,80,1,84,-1,-28,0,4,112,108,0
536,81,2,85,0,-12,0,4,98,94,0
537,81,-2,85,0,-22,0,4,108,104,0
538,79,0,84,8,-38,0,4,123,118,0
539,81,0,84,0,-14,20,3,100,96,0
540,85,0,88,-2,0,0,3,88,84,0
541,80,0,84,2,-24,3,4,110,106,0
542,106,-4,108,0,70,0,2,38,36,0
543,105,-2,106,-5,70,0,1,36,34,0
544,81,0,84,0,-12,16,3,97,94,0
545,106,2,108,8,70,-30,2,38,36,0
546,79,0,83,0,-32,14,4,117,112,0
547,78,0,83,1,-42,0,4,126,122,0
548,75,3,79,1,-42,0,4,123,118,0
549,71,-2,74,-7,-42,-19,4,118,114,0
550,79,0,84,-2,-40,10,4,125,120,0
551,78,-3,83,0,-46,0,4,129,124,0
552,76,0,80,0,-40,20,4,121,116,0
553,79,0,83,1,-46,0,5,130,126,0
554,104,1,105,-2,70,0,1,35,34,0
555,62,66,82,0,-42,-8,20,126,106,1
556,79,0,83,0,-30,25,4,114,110,0
557,108,3,109,2,72,5,1,36,36,0
558,103,4,104,9,72,5,1,32,30,0
559,82,-1,87,0,-40,1,5,128,124,0
560,106,-2,108,0,70,0,1,38,36,0
561,82,0,86,0,-22,1,4,109,106,0
562,85,0,88,-11,0,0,3,88,84,0
563,81,-5,86,0,-22,0,4,109,104,0
564,80,4,84,0,-38,0,4,123,118,0
565,105,0,106,6,70,-1,2,36,34,0
566,79,0,83,0,-38,26,4,122,118,0
567,84,0,87,-1,0,8,3,87,84,0
568,77,0,81,0,-40,4,4,123,118,0
569,104,-3,105,-3,70,0,1,35,34,0
570,76,0,80,-1,-42,0,4,124,120,0
571,107,-3,108,0,72,2,1,36,34,0
572,85,8,89,0,8,28,4,81,78,0
573,123,4903,104,-3,36,-6,-18,68,86,0
574,79,2,84,4,-40,3,4,125,120,0
575,85,0,88,1,2,0,3,86,82,0
576,78,0,81,-6,-40,0,4,123,120,0
577,76,3,80,0,-40,0,4,121,118,0
578,102,-4,104,-1,72,13,1,31,30,0
579,82,4,86,0,-12,0,3,99,96,0
580,102,0,103,0,70,-27,1,33,32,0
581,84,0,86,-2,-2,0,3,89,86,0
582,81,-1,85,0,-40,3,4,126,122,0
583,82,0,86,0,-12,-6,3,99,96,0
584,85,0,88,0,6,14,3,83,80,0
585,104,-1,105,-6,70,0,1,35,34,0
586,104,1,106,4,70,0,1,36,34,0
587,80,0,84,0,-36,-3,4,120,116,0
588,120,1349,76,4,36,5,-43,40,84,0
589,105,-2,106,-6,70,0,1,36,34,0
590,85,0,88,-5,2,0,3,85,82,0
591,82,0,86,0,-2,11,3,88,84,0
592,84,0,88,2,-2,0,4,90,86,0
593,101,0,102,0,72,92,1,30,28,0
594,78,0,81,-1,-40,7973,4,123,120,0
595,85,0,88,0,2,-21,3,86,82,0
596,102,0,103,4,70,-8,1,33,32,0
597,79,0,84,0,-40,7,4,125,120,0
598,84,0,88,0,-2,-20,3,90,88,0
599,79,-2,84,0,-40,1,4,125,120,0
