,S1, C1, S2, C2, S3, C3, S4, C4, S5, C5,y
153,1,10,2,10,3,8,4,8,3,10,0
154,2,1,3,7,4,1,3,1,1,7,0
155,2,1,3,9,4,1,1,9,3,1,0
156,1,10,4,3,3,10,2,10,2,3,0
157,3,7,4,7,1,13,3,13,4,13,0
158,4,7,2,3,3,7,1,3,2,7,0
159,2,13,3,13,2,8,1,8,4,13,0
160,3,11,4,11,4,5,1,11,2,5,0
161,3,10,4,4,4,10,3,4,2,10,0
162,3,5,2,5,1,5,2,7,4,7,0
163,1,7,4,7,1,8,2,8,3,7,0
164,2,12,1,9,3,9,4,12,4,9,0
165,4,10,2,10,2,1,3,1,3,10,0
166,4,10,2,5,3,10,3,5,2,10,0
167,4,3,1,10,2,3,4,10,2,10,0
168,2,12,2,10,3,12,3,10,4,10,0
169,3,9,3,3,4,9,4,3,2,9,0
170,4,10,3,3,2,10,2,3,1,3,0
171,2,2,2,4,4,2,3,4,4,4,0
172,2,8,3,8,2,11,4,8,1,11,0
173,3,6,1,1,2,1,1,6,3,1,0
174,1,9,2,6,1,6,4,9,4,6,0
175,2,10,3,10,1,12,3,12,4,12,0
176,3,13,1,10,3,10,2,13,2,10,0
177,4,1,4,13,3,13,2,1,3,1,0
178,2,7,4,7,1,7,4,2,1,2,0
179,1,9,4,12,3,9,4,9,1,12,0
180,4,2,3,2,1,11,3,11,2,2,0
181,4,3,4,8,2,8,1,3,2,3,0
182,4,9,3,2,2,9,3,9,4,2,0
183,2,9,3,9,1,5,4,5,1,9,0
184,3,12,1,12,4,12,3,2,1,2,0
185,4,2,2,2,3,1,1,1,3,2,0
186,1,13,4,10,2,10,3,10,4,13,0
187,1,8,4,8,3,6,1,6,2,8,0
188,4,6,1,6,1,9,4,9,3,6,0
189,4,3,2,3,3,3,4,12,3,12,0
190,3,6,4,6,1,11,2,6,4,11,0
191,2,1,3,1,3,3,4,3,1,3,0
192,4,5,3,2,1,2,1,5,2,2,0
193,2,1,2,5,4,5,1,1,3,5,0
194,1,5,4,9,2,5,2,9,3,5,0
195,2,4,2,12,3,12,1,12,1,4,0
196,2,10,2,11,2,9,2,7,2,8,1
197,4,8,2,8,1,5,4,5,1,8,0
198,1,13,2,4,1,4,4,13,3,13,0
199,1,4,4,9,3,9,3,4,2,4,0
200,3,10,1,4,2,4,4,4,4,10,0
201,3,11,4,11,3,12,2,12,1,12,0
202,4,2,1,2,1,5,4,5,3,2,0
203,3,10,1,4,2,10,3,4,4,4,0
204,2,13,2,2,3,2,3,13,4,2,0
205,1,5,3,5,2,10,1,10,4,10,0
206,4,12,3,12,4,9,3,9,2,12,0
207,3,7,4,7,3,2,1,7,4,2,0
208,2,7,2,6,4,6,4,7,1,7,0
209,3,1,2,4,1,1,4,1,1,4,0
210,4,8,1,7,3,7,3,8,1,8,0
211,3,3,2,3,1,3,4,7,3,7,0
212,3,1,1,10,1,1,2,10,4,1,0
213,1,12,4,6,1,6,3,12,3,6,0
214,4,5,1,5,3,3,3,5,4,3,0
215,2,6,1,9,1,6,3,9,2,9,0
216,4,3,1,9,4,9,2,9,1,3,0
217,1,7,2,9,4,9,3,9,4,7,0
218,3,13,4,5,1,13,2,13,1,5,0
219,1,12,2,6,3,6,3,12,4,12,0
220,3,6,3,1,4,1,1,6,4,6,0
221,4,4,2,11,1,11,3,4,4,11,0
222,2,1,2,4,4,1,1,1,1,4,0
223,1,3,3,3,4,3,4,10,1,10,0
224,4,13,1,13,3,4,2,13,1,4,0
225,3,7,4,4,1,7,2,7,2,4,0
226,1,1,1,2,3,1,2,1,3,2,0
227,3,8,4,10,3,10,4,8,2,10,0
228,1,3,4,7,2,3,1,7,4,3,0
229,4,5,2,8,1,5,3,5,3,8,0
230,1,12,1,13,2,13,4,12,4,13,0
231,2,9,4,9,1,6,3,6,3,9,0
232,3,4,3,5,4,5,2,4,1,5,0
233,4,11,1,13,2,11,3,13,4,13,0
234,1,7,3,7,2,11,4,11,2,7,0
235,1,2,1,8,4,2,2,8,3,2,0
236,3,3,2,3,4,7,1,7,3,7,0
237,3,2,2,3,4,2,3,3,2,2,0
238,4,5,4,13,3,13,2,5,2,13,0
239,4,1,4,6,2,6,3,6,3,1,0
240,4,1,3,1,3,8,1,1,1,8,0
241,1,3,3,3,4,3,4,12,3,12,0
242,4,4,1,4,2,4,2,13,1,13,0
243,4,8,4,3,2,3,3,3,3,8,0
244,3,13,1,8,4,13,4,8,2,13,0
245,1,10,2,5,3,5,3,10,4,5,0
246,4,10,4,13,2,13,1,10,3,10,0
247,2,2,3,2,3,3,1,3,1,2,0
248,2,4,2,11,4,4,1,4,3,11,0
249,4,2,3,3,4,3,1,2,2,3,0
250,3,10,1,4,4,4,3,4,4,10,0
251,2,12,3,12,2,11,3,11,4,12,0
252,4,8,1,8,1,11,2,11,3,8,0
253,2,6,3,6,1,9,4,9,4,6,0
254,3,6,2,6,3,10,4,6,4,10,0
255,4,3,1,10,2,10,3,3,4,10,0
256,1,3,4,7,3,7,1,7,2,3,0
257,1,3,2,12,3,3,2,3,1,12,0
258,4,9,1,9,1,10,2,10,4,10,0
259,2,2,1,2,4,2,3,9,1,9,0
260,1,12,3,12,1,8,4,8,2,8,0
261,4,4,2,2,4,2,1,4,3,4,0
262,1,4,4,4,2,11,3,11,3,4,0
263,4,11,1,7,2,11,1,11,2,7,0
264,3,13,4,13,3,12,2,12,4,12,0
265,4,7,1,7,2,11,3,11,2,7,0
266,4,1,3,8,1,8,2,1,2,8,0
267,2,11,4,1,3,11,4,11,3,1,0
268,2,11,1,6,1,11,2,6,3,6,0
269,1,3,1,9,3,3,3,9,2,9,0
270,4,1,4,3,1,1,1,3,3,1,0
271,2,4,1,4,4,1,2,1,3,4,0
272,3,10,1,5,3,5,2,10,4,10,0
273,1,9,2,9,3,9,4,7,1,7,0
274,3,13,4,13,2,13,4,3,3,3,0
275,1,2,3,2,3,12,4,12,2,12,0
276,2,11,1,5,3,11,2,5,4,5,0
277,3,4,4,13,2,13,1,13,2,4,0
278,1,11,4,10,2,11,3,11,2,10,0
279,3,7,1,4,3,4,2,4,2,7,0
280,3,11,1,1,1,11,3,1,2,1,0
281,4,2,4,11,1,11,2,11,1,2,0
282,4,12,4,7,1,7,2,12,3,12,0
283,3,9,4,13,3,13,2,13,2,9,0
284,1,2,1,11,3,11,2,2,4,11,0
285,1,1,4,4,4,1,3,4,2,4,0
286,4,10,1,10,2,7,3,10,3,7,0
287,4,6,2,8,3,6,1,6,4,8,0
288,3,6,4,6,4,2,3,2,1,6,0
289,3,8,2,8,4,8,3,10,1,10,0
290,3,5,1,5,2,6,3,6,1,6,0
291,1,1,2,13,1,13,3,1,3,13,0
292,4,6,3,3,1,3,3,6,1,6,0
293,3,4,3,5,3,3,3,1,3,2,1
294,3,5,2,7,1,7,1,5,2,5,0
295,3,2,2,9,4,9,3,9,4,2,0
296,3,8,2,12,1,8,2,8,4,12,0
297,3,10,1,10,1,2,4,2,2,10,0
298,2,11,2,2,1,11,3,11,3,2,0
299,4,12,2,9,3,9,1,12,3,12,0
300,3,10,4,6,4,10,2,6,1,6,0
301,3,2,1,7,3,7,1,2,2,7,0
302,4,10,2,10,4,2,3,10,1,2,0
303,1,4,1,8,2,4,4,8,4,4,0
304,2,6,3,6,1,6,4,10,2,10,0
305,4,7,1,7,3,13,3,7,2,13,0
306,1,5,1,6,3,6,4,6,2,5,0
307,4,10,1,9,2,9,3,9,1,10,0
308,3,1,1,1,1,3,2,3,4,3,0
309,4,7,2,7,3,6,3,7,1,6,0
310,1,7,4,9,4,7,1,9,2,9,0
311,4,5,4,2,3,2,1,5,2,5,0
312,1,2,4,2,3,2,4,3,2,3,0
313,1,5,2,13,3,5,1,13,2,5,0
314,3,3,3,12,4,12,2,3,1,12,0
315,4,8,1,8,2,10,4,10,3,10,0
316,1,10,3,10,4,10,2,9,1,9,0
317,4,11,3,11,3,10,2,11,2,10,0
318,1,12,4,12,2,12,3,2,4,2,0
319,2,13,4,13,4,7,3,7,3,13,0
320,2,6,1,1,2,1,3,6,4,6,0
321,2,10,3,13,3,10,4,10,2,13,0
322,4,1,4,5,3,1,2,5,3,5,0
323,1,3,4,3,3,4,4,4,2,4,0
324,4,2,3,2,4,4,3,4,2,2,0
325,2,3,1,3,4,5,4,3,2,5,0
326,2,8,3,8,1,8,2,7,1,7,0
327,3,7,1,7,3,10,2,10,4,10,0
328,4,10,1,8,4,8,3,10,1,10,0
329,1,4,4,10,1,10,2,4,3,4,0
330,4,1,4,2,2,1,3,1,1,2,0
331,4,8,1,8,4,5,2,5,3,8,0
332,2,5,3,5,2,13,4,13,3,13,0
333,3,2,1,2,2,4,1,4,4,4,0
334,4,5,3,5,4,1,2,5,3,1,0
335,4,7,2,3,1,7,3,7,4,3,0
336,1,8,4,2,2,2,4,8,2,8,0
337,1,12,2,10,3,10,4,10,4,12,0
338,3,13,4,5,2,5,4,13,1,5,0
339,1,5,3,5,1,12,2,12,2,5,0
340,2,2,3,9,3,2,1,2,2,9,0
341,3,6,3,3,1,6,1,3,2,3,0
342,2,6,3,6,3,1,2,1,4,1,0
343,2,7,2,13,1,7,1,13,3,7,0
344,3,12,1,9,2,12,4,12,4,9,0
345,4,10,4,9,3,9,2,10,3,10,0
346,1,4,2,11,4,11,3,11,3,4,0
347,1,2,4,2,4,1,1,1,2,2,0
348,3,12,1,13,1,12,4,13,4,12,0
349,2,5,4,5,1,5,4,10,3,10,0
350,1,3,2,3,3,2,1,2,4,2,0
351,3,4,1,4,3,11,2,11,4,11,0
352,2,8,2,3,3,3,1,8,3,8,0
353,2,8,3,5,4,8,4,5,2,5,0
354,2,2,4,8,4,2,2,8,3,8,0
355,4,2,1,11,4,11,2,2,1,2,0
356,1,3,1,4,4,3,3,3,2,4,0
357,1,4,2,4,3,4,4,13,2,13,0
358,2,7,2,1,3,7,4,7,4,1,0
359,4,9,1,10,1,9,3,9,3,10,0
360,4,7,1,3,3,7,4,3,2,3,0
361,4,7,1,7,4,2,2,2,3,7,0
362,2,3,1,10,4,10,3,3,3,10,0
363,3,6,2,12,3,12,2,6,4,6,0
364,2,11,1,1,3,1,3,11,4,1,0
365,4,13,1,13,2,12,1,12,3,13,0
366,1,9,3,9,4,9,4,12,3,12,0
367,3,3,1,4,4,4,3,4,1,3,0
368,4,11,1,11,2,3,1,3,4,3,0
369,1,2,2,9,4,9,3,2,4,2,0
370,1,11,3,12,3,11,4,11,1,12,0
371,4,3,4,4,1,4,1,3,2,4,0
372,3,7,1,10,4,7,2,7,3,10,0
373,4,11,2,6,4,6,2,11,1,11,0
374,1,7,2,8,3,7,1,8,4,7,0
375,2,5,4,5,1,5,4,12,1,12,0
376,2,5,1,9,3,5,4,9,4,5,0
377,2,13,3,13,3,11,2,11,4,11,0
378,2,6,4,8,1,6,3,6,1,8,0
379,3,5,2,7,3,7,2,5,4,5,0
380,1,4,1,5,4,5,2,4,2,5,0
381,3,4,4,11,3,11,1,4,1,11,0
382,1,8,1,13,2,8,2,13,3,8,0
383,4,13,3,10,2,13,1,10,2,10,0
384,4,12,3,12,2,12,3,8,2,8,0
385,1,1,3,1,4,13,2,1,3,13,0
386,4,1,2,1,2,6,4,6,1,1,0
387,1,11,2,11,3,13,3,11,1,13,0
388,2,8,3,8,1,8,1,10,4,10,0
389,2,9,4,9,2,3,4,3,3,3,0
390,3,9,4,9,1,13,2,13,3,13,0
391,2,4,1,1,4,1,4,4,2,1,0
392,1,12,3,12,2,6,4,6,1,6,0
393,1,12,3,9,2,9,4,9,3,12,0
394,4,9,3,9,1,12,4,12,2,12,0
395,1,8,4,9,3,8,3,9,2,9,0
396,2,3,4,3,3,3,2,1,3,1,0
397,1,11,3,12,2,11,1,12,2,12,0
398,1,3,3,3,4,3,1,8,2,8,0
399,1,4,3,4,2,4,2,5,1,5,0
400,2,7,2,6,2,4,2,5,2,8,1
401,2,3,4,4,3,4,1,3,3,3,0
402,2,4,1,3,3,4,3,3,4,3,0
403,1,4,4,7,3,4,2,4,2,7,0
404,1,7,2,2,3,7,2,7,4,2,0
405,1,2,1,4,2,2,3,4,2,4,0
406,3,5,1,8,3,8,4,5,2,5,0
407,2,13,1,3,4,3,4,13,3,3,0
408,2,7,4,11,1,11,4,7,3,7,0
409,4,12,1,4,1,12,4,4,2,12,0
410,2,10,3,13,1,13,2,13,4,10,0
411,1,6,4,6,3,11,2,11,4,11,0
412,3,12,3,10,1,12,4,12,4,10,0
413,4,9,1,12,3,9,4,12,2,12,0
414,2,10,2,11,2,13,2,1,2,12,1
415,1,8,1,1,3,1,4,8,2,8,0
416,3,7,2,8,2,7,3,8,1,7,0
417,3,13,4,13,4,7,1,13,3,7,0
418,1,4,2,12,3,4,1,12,4,12,0
419,4,6,2,6,4,10,1,10,1,6,0
420,4,2,1,2,3,2,2,13,4,13,0
421,2,2,2,12,4,2,4,12,3,12,0
422,1,7,1,6,4,6,2,7,3,7,0
423,3,4,2,9,4,9,1,9,1,4,0
424,4,6,2,6,4,13,3,13,2,13,0
425,2,1,3,13,2,13,1,13,3,1,0
426,1,8,3,8,4,8,2,9,3,9,0
427,1,7,2,12,3,7,4,12,1,12,0
428,2,4,3,4,3,9,1,9,4,9,0
429,2,8,3,4,2,4,1,8,1,4,0
430,2,5,1,5,3,5,1,12,3,12,0
431,2,2,3,2,4,2,1,4,3,4,0
432,2,8,1,12,1,8,3,8,2,12,0
433,1,4,2,9,3,9,2,4,4,9,0
434,2,5,1,3,4,5,2,3,1,5,0
435,2,6,1,6,3,6,1,13,2,13,0
436,4,12,1,12,2,7,3,12,1,7,0
437,4,1,2,11,4,11,3,11,2,1,0
438,2,5,1,5,3,5,1,4,4,4,0
439,3,7,1,12,2,12,4,7,4,12,0
440,1,8,4,8,3,1,3,8,2,1,0
441,2,13,3,9,3,13,2,9,4,9,0
442,3,7,2,6,4,7,1,6,4,6,0
443,2,3,4,4,2,4,1,3,4,3,0
444,3,9,4,9,1,10,4,10,3,10,0
445,2,3,3,6,4,6,1,3,4,3,0
446,1,6,1,12,3,12,3,6,4,6,0
447,1,11,2,11,3,13,4,11,2,13,0
448,1,6,2,6,4,6,3,2,1,2,0
449,3,2,1,8,3,8,2,8,2,2,0
450,2,13,1,2,3,2,4,13,2,2,0
451,2,9,1,9,4,9,3,6,2,6,0
452,2,2,1,2,1,3,3,3,3,2,0
453,1,9,2,9,2,8,3,9,1,8,0
454,2,13,4,9,4,13,2,9,3,9,0
455,1,3,3,3,3,5,2,3,4,5,0
456,3,1,2,1,3,5,4,1,4,5,0
457,1,3,2,12,3,12,4,3,4,12,0
458,2,6,2,5,3,6,4,6,4,5,0
459,2,13,4,10,4,13,1,10,2,10,0
460,3,11,2,11,4,9,1,9,2,9,0
461,4,6,3,6,2,6,3,10,1,10,0
462,4,9,3,9,4,7,1,9,3,7,0
463,3,9,3,6,4,6,2,9,4,9,0
464,3,11,2,6,1,6,1,11,4,11,0
465,1,5,4,10,3,5,4,5,3,10,0
466,3,6,2,3,2,6,4,3,1,6,0
467,2,4,4,3,1,4,3,4,3,3,0
468,1,12,2,3,4,3,3,12,2,12,0
469,2,11,1,11,1,8,3,8,4,11,0
470,3,3,2,3,4,9,4,3,2,9,0
471,4,2,1,2,3,9,3,2,2,9,0
472,2,12,4,3,2,3,1,12,3,12,0
473,2,10,2,12,4,10,1,10,3,12,0
474,2,11,1,11,3,12,1,12,2,12,0
475,2,10,4,9,2,9,3,10,4,10,0
476,4,13,1,3,3,13,2,3,3,3,0
477,3,9,2,9,1,9,1,13,2,13,0
478,1,6,1,7,2,6,2,7,4,6,0
479,2,12,4,13,3,12,2,13,1,13,0
480,1,1,2,1,3,9,4,1,1,9,0
481,2,11,2,2,4,11,4,2,1,2,0
482,3,7,1,1,4,7,3,1,4,1,0
483,2,10,4,10,1,10,2,7,3,7,0
484,3,3,2,3,2,2,1,2,3,2,0
485,1,8,1,10,2,10,3,8,3,10,0
486,4,13,2,13,3,7,2,7,3,13,0
487,1,4,1,13,2,4,2,13,3,13,0
488,2,5,4,6,1,5,3,5,2,6,0
489,4,6,1,12,3,12,1,6,2,6,0
490,3,10,2,10,3,7,4,10,1,7,0
491,1,12,4,12,1,10,2,10,4,10,0
492,1,9,4,11,4,9,1,11,3,11,0
493,1,9,2,9,2,12,3,12,4,12,0
494,4,11,1,6,4,6,2,11,3,11,0
495,4,10,2,13,2,10,4,13,3,10,0
496,4,10,2,10,1,13,3,13,1,10,0
497,1,9,3,8,2,8,4,9,3,9,0
498,2,5,4,5,1,12,1,5,4,12,0
499,3,7,3,3,1,3,4,7,2,3,0
500,3,11,2,1,4,11,1,1,1,11,0
501,1,9,4,9,3,5,2,9,4,5,0
502,3,6,2,9,3,9,4,9,1,6,0
503,3,3,1,3,4,10,3,10,1,10,0
504,4,13,2,9,3,9,2,13,4,9,0
505,3,12,2,12,4,6,2,6,3,6,0
506,1,10,3,6,2,6,2,10,1,6,0
507,1,10,4,13,2,10,3,13,4,10,0
508,3,2,1,12,2,12,4,2,2,2,0
509,3,5,2,6,3,6,2,5,1,6,0
510,4,13,2,13,2,7,3,7,1,7,0
511,3,10,2,12,1,12,4,12,4,10,0
512,4,1,2,1,3,1,3,12,1,12,0
513,4,11,3,5,4,5,1,11,1,5,0
514,1,8,4,10,4,8,2,8,3,10,0
515,1,4,1,8,3,4,4,4,4,8,0
516,4,10,2,10,1,12,3,12,4,12,0
517,1,2,4,2,3,8,2,2,1,8,0
518,3,10,2,10,2,5,1,5,4,5,0
519,4,11,1,4,1,11,2,4,4,4,0
520,4,1,2,13,2,1,3,13,4,13,0
521,4,5,1,5,1,9,4,9,2,5,0
522,2,11,1,2,3,2,4,2,1,11,0
523,4,6,3,6,1,12,4,12,3,12,0
524,4,3,3,5,2,3,3,3,2,5,0
525,4,2,4,5,3,2,3,5,1,5,0
526,2,9,3,9,2,7,3,7,4,9,0
527,4,6,1,6,1,11,2,6,2,11,0
528,2,2,1,13,1,2,3,2,3,13,0
529,4,5,1,5,4,4,3,4,3,5,0
530,1,9,4,9,1,6,4,6,2,6,0
531,2,11,1,11,3,11,3,10,4,10,0
532,3,2,2,2,4,5,2,5,1,5,0
533,1,7,1,6,3,6,3,7,2,6,0
534,1,8,2,8,1,13,3,8,2,13,0
535,2,8,4,8,2,5,1,5,1,8,0
536,3,4,1,4,1,11,3,11,4,11,0
537,4,7,4,12,1,7,3,12,1,12,0
538,3,6,3,5,4,5,1,6,1,5,0
539,2,6,3,1,2,1,3,6,4,1,0
540,2,6,4,6,4,8,2,8,1,8,0
541,1,2,2,2,4,2,2,1,3,1,0
542,1,5,3,5,2,5,3,6,2,6,0
543,1,5,2,5,4,7,3,7,1,7,0
544,3,1,4,1,1,8,2,8,2,1,0
545,3,12,4,7,1,7,3,7,2,12,0
546,4,7,2,2,4,2,3,7,1,2,0
547,4,13,2,5,1,13,3,5,1,5,0
548,4,2,2,9,3,9,4,9,1,2,0
549,4,2,3,2,1,1,3,1,1,2,0
550,2,10,3,10,1,6,3,6,2,6,0
551,4,12,2,12,3,12,1,4,2,4,0
552,4,8,2,1,3,1,4,1,2,8,0
553,3,1,2,1,3,12,4,1,1,12,0
554,1,9,4,9,3,9,4,12,1,12,0
555,4,9,3,9,2,9,3,8,4,8,0
556,3,2,2,2,4,2,1,8,3,8,0
557,3,10,3,3,1,3,2,3,4,10,0
558,2,7,4,7,4,3,1,3,3,7,0
559,3,3,3,5,2,5,1,5,2,3,0
560,4,11,3,1,2,1,2,11,4,1,0
561,1,13,1,7,3,13,4,13,4,7,0
562,3,13,1,6,1,13,4,13,2,6,0
563,2,8,2,13,4,13,3,13,1,8,0
564,2,2,1,11,4,11,1,2,2,11,0
565,2,4,3,4,1,9,1,4,3,9,0
566,2,4,4,4,4,7,3,4,3,7,0
567,2,8,2,7,2,5,2,6,2,4,1
568,4,11,4,7,4,9,4,10,4,8,1
569,1,4,1,3,4,3,3,3,3,4,0
570,2,1,1,5,3,1,2,5,1,1,0
571,1,8,3,13,4,8,1,13,2,8,0
572,1,13,2,2,3,2,1,2,2,13,0
573,1,11,3,11,1,8,4,8,2,11,0
574,3,11,4,3,3,3,2,3,4,11,0
575,4,9,1,9,2,3,4,3,3,3,0
576,4,3,3,6,2,3,2,6,1,3,0
577,4,4,2,10,2,4,4,10,1,4,0
578,1,7,1,3,3,7,2,3,4,7,0
579,2,7,4,7,2,2,4,2,1,2,0
580,3,5,2,7,1,5,3,7,1,7,0
