,Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2,y
124,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0
125,0.63,0.51,0.48,0.5,0.64,0.72,0.76,1
126,0.3,0.37,0.48,0.5,0.59,0.41,0.49,0
127,0,0.38,0.48,0.5,0.42,0.48,0.55,0
128,0.71,0.4,0.48,0.5,0.71,0.7,0.74,0
129,0.89,0.55,0.48,0.5,0.51,0.72,0.76,0
130,0.81,0.53,0.48,0.5,0.57,0.87,0.88,1
131,0.57,0.54,0.48,0.5,0.37,0.28,0.33,0
132,0.42,0.4,0.48,0.5,0.56,0.18,0.3,0
133,0.68,0.76,0.48,0.5,0.84,0.45,0.27,0
134,0.66,0.74,0.48,0.5,0.31,0.38,0.43,0
135,0.62,0.42,0.48,0.5,0.58,0.79,0.81,1
136,0.75,0.76,0.48,0.5,0.83,0.57,0.3,0
137,0.88,0.42,0.48,0.5,0.52,0.73,0.75,1
138,0.29,0.39,0.48,0.5,0.52,0.4,0.48,0
139,0.67,0.84,0.48,0.5,0.74,0.54,0.37,0
140,0.49,0.42,0.48,0.5,0.53,0.79,0.81,0
141,0.64,0.58,0.48,0.5,0.48,0.78,0.73,0
142,0.38,0.4,0.48,0.5,0.63,0.25,0.35,0
143,0.34,0.33,0.48,0.5,0.38,0.35,0.44,0
144,0.36,0.39,0.48,0.5,0.48,0.22,0.23,0
145,0.16,0.51,0.48,0.5,0.33,0.39,0.48,0
146,0.4,0.29,0.48,0.5,0.42,0.35,0.44,0
147,0,0.51,0.48,0.5,0.35,0.67,0.44,0
148,0.86,0.55,0.48,0.5,0.63,0.81,0.83,1
149,0.68,0.63,0.48,0.5,0.73,0.4,0.3,0
150,0.37,0.52,0.48,0.5,0.42,0.42,0.36,0
151,0.69,0.43,0.48,0.5,0.59,0.74,0.77,1
152,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0
153,0.58,0.34,0.48,0.5,0.56,0.87,0.81,0
154,0.35,0.51,0.48,0.5,0.61,0.71,0.74,0
155,0.73,0.36,0.48,0.5,0.53,0.91,0.92,0
156,0.68,0.78,0.48,0.5,0.43,0.44,0.42,0
157,0.63,0.86,0.48,0.5,0.39,0.47,0.34,0
158,0.58,0.55,0.48,0.5,0.57,0.7,0.74,0
159,0.32,0.42,0.48,0.5,0.35,0.28,0.38,0
160,0.73,0.78,0.48,0.5,0.58,0.51,0.31,0
161,0.34,0.45,0.48,0.5,0.38,0.24,0.35,0
162,0.64,0.76,0.48,0.5,0.45,0.35,0.38,0
163,0.34,0.51,0.48,0.5,0.67,0.9,0.9,0
164,0.33,0.45,0.48,0.5,0.52,0.32,0.41,0
165,0.29,0.28,0.48,0.5,0.5,0.42,0.5,0
166,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0
167,0.44,0.42,0.48,0.5,0.42,0.25,0.2,0
168,0.32,0.39,0.48,0.5,0.53,0.28,0.38,0
169,0.77,0.57,1,0.5,0.37,0.54,0.01,0
170,0.63,0.65,0.48,0.5,0.39,0.44,0.35,0
171,0.63,0.83,0.48,0.5,0.4,0.39,0.19,0
172,0.61,0.6,0.48,0.5,0.44,0.39,0.38,0
173,0.72,0.42,0.48,0.5,0.65,0.77,0.79,1
174,0.57,0.38,0.48,0.5,0.06,0.49,0.33,1
175,0.43,0.4,0.48,0.5,0.39,0.28,0.39,0
176,0.43,0.4,0.48,0.5,0.58,0.75,0.78,0
177,0.67,0.81,0.48,0.5,0.25,0.42,0.25,0
178,0.22,0.36,0.48,0.5,0.35,0.39,0.47,0
179,0.7,0.39,1,0.5,0.51,0.82,0.84,0
180,0.68,0.51,0.48,0.5,0.71,0.75,0.78,0
181,0.48,0.45,0.48,0.5,0.6,0.78,0.8,0
182,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0
183,0.44,0.27,0.48,0.5,0.55,0.52,0.58,0
184,0.33,0.45,0.48,0.5,0.45,0.88,0.89,0
185,0.11,0.5,0.48,0.5,0.58,0.72,0.68,0
186,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
187,0.63,0.57,0.48,0.5,0.49,0.7,0.2,0
188,0.7,0.64,0.48,0.5,0.47,0.51,0.47,0
189,0.4,0.35,0.48,0.5,0.45,0.33,0.42,0
190,0.29,0.37,0.48,0.5,0.48,0.44,0.52,0
191,0.29,0.52,0.48,0.5,0.42,0.29,0.39,0
192,0.32,0.33,0.48,0.5,0.6,0.06,0.2,0
193,0.67,0.7,0.48,0.5,0.46,0.45,0.33,0
194,0.6,0.46,0.48,0.5,0.45,0.81,0.83,0
195,0.22,0.43,0.48,0.5,0.48,0.16,0.28,0
196,0.67,0.39,0.48,0.5,0.36,0.38,0.46,0
197,0.64,0.72,0.48,0.5,0.49,0.42,0.19,0
198,0.67,0.88,0.48,0.5,0.73,0.5,0.25,0
199,0.25,0.37,0.48,0.5,0.43,0.26,0.36,0
200,0.29,0.47,0.48,0.5,0.71,0.65,0.69,0
201,0.23,0.32,0.48,0.5,0.55,0.25,0.35,0
202,0.63,0.5,0.48,0.5,0.59,0.85,0.86,0
203,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0
204,0.61,0.75,0.48,0.5,0.51,0.33,0.33,0
205,0.77,0.55,0.48,0.5,0.51,0.78,0.74,1
206,0.62,0.78,0.48,0.5,0.47,0.49,0.54,0
207,0.79,0.41,0.48,0.5,0.66,0.81,0.83,1
208,0.31,0.36,0.48,0.5,0.58,0.94,0.94,0
209,0.46,0.59,0.48,0.5,0.36,0.76,0.23,0
210,0.63,0.47,0.48,0.5,0.51,0.82,0.84,0
211,0.6,0.61,0.48,0.5,0.54,0.67,0.71,0
212,0.71,0.86,0.48,0.5,0.4,0.54,0.32,0
213,0.34,0.42,0.48,0.5,0.41,0.34,0.43,0
214,0.07,0.4,0.48,0.5,0.54,0.35,0.44,0
215,0.34,0.35,0.48,0.5,0.51,0.49,0.56,0
216,0.84,0.44,0.48,0.5,0.48,0.71,0.74,0
217,0.54,0.57,0.48,0.5,0.56,0.81,0.83,0
218,0.54,0.47,0.48,0.5,0.28,0.33,0.42,0
219,0.3,0.44,0.48,0.5,0.49,0.22,0.33,0
220,0.56,0.68,0.48,0.5,0.77,0.36,0.45,0
221,0.56,0.54,0.48,0.5,0.43,0.37,0.3,0
222,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0
223,0.43,0.32,0.48,0.5,0.33,0.45,0.52,0
224,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0
225,0.25,0.26,0.48,0.5,0.39,0.32,0.42,0
226,0.59,0.56,0.48,0.5,0.55,0.8,0.82,0
227,0.66,0.53,0.48,0.5,0.59,0.66,0.66,0
228,0.72,0.46,0.48,0.5,0.51,0.66,0.7,0
229,0.52,0.81,0.48,0.5,0.72,0.38,0.38,0
230,0.36,0.45,0.48,0.5,0.38,0.79,0.17,0
231,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
232,0.7,0.61,0.48,0.5,0.56,0.52,0.43,0
233,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0
234,0.67,0.81,0.48,0.5,0.54,0.49,0.23,0
235,0.64,0.46,0.48,0.5,0.48,0.73,0.76,1
236,0.66,0.86,0.48,0.5,0.34,0.41,0.36,0
237,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0
238,0.74,0.82,0.48,0.5,0.49,0.49,0.41,0
239,0.24,0.43,0.48,0.5,0.54,0.52,0.59,0
240,0.23,0.33,0.48,0.5,0.43,0.33,0.43,0
241,0.66,0.49,1,0.5,0.54,0.56,0.36,0
242,0.5,0.57,0.48,0.5,0.71,0.61,0.66,0
243,0.41,0.43,0.48,0.5,0.5,0.24,0.25,0
244,0.63,0.42,0.48,0.5,0.48,0.77,0.8,1
245,0.38,0.46,0.48,0.5,0.48,0.22,0.29,0
246,0.58,0.6,0.48,0.5,0.59,0.73,0.76,1
247,0.31,0.5,0.48,0.5,0.57,0.84,0.85,0
248,0.5,0.37,0.48,0.5,0.66,0.64,0.69,0
249,0.34,0.51,0.48,0.5,0.44,0.37,0.46,0
250,0.74,0.56,0.48,0.5,0.47,0.68,0.3,0
251,0.29,0.3,0.48,0.5,0.45,0.03,0.17,0
252,0.17,0.52,0.48,0.5,0.49,0.37,0.46,0
253,0.65,0.51,0.48,0.5,0.66,0.54,0.33,0
254,0.47,0.55,0.48,0.5,0.58,0.71,0.75,0
255,0.67,0.55,1,0.5,0.66,0.58,0.16,0
256,0.51,0.54,0.48,0.5,0.41,0.34,0.43,0
257,0.7,0.46,0.48,0.5,0.56,0.78,0.73,0
258,0.69,0.65,0.48,0.5,0.63,0.48,0.41,0
259,0.43,0.59,0.48,0.5,0.52,0.49,0.56,0
260,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0
261,0.71,0.57,0.48,0.5,0.48,0.35,0.32,0
262,0.44,0.28,0.48,0.5,0.43,0.27,0.37,0
263,0.7,0.4,0.48,0.5,0.56,0.86,0.83,0
264,0.51,0.49,0.48,0.5,0.53,0.14,0.26,0
265,0.48,0.41,0.48,0.5,0.51,0.9,0.88,0
266,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0
267,0.79,0.36,0.48,0.5,0.46,0.82,0.7,1
268,0.74,0.49,0.48,0.5,0.42,0.54,0.36,0
269,0.12,0.67,0.48,0.5,0.74,0.58,0.63,0
270,0.47,0.29,0.48,0.5,0.51,0.33,0.43,0
271,0.39,0.41,0.48,0.5,0.52,0.72,0.75,0
272,0.55,0.47,0.48,0.5,0.57,0.78,0.8,0
273,0.43,0.39,0.48,0.5,0.47,0.31,0.41,0
274,0.41,0.48,0.48,0.5,0.51,0.44,0.51,0
275,0.84,0.49,0.48,0.5,0.55,0.78,0.74,1
276,0.85,0.53,0.48,0.5,0.53,0.52,0.35,0
277,0.81,0.44,0.48,0.5,0.42,0.67,0.68,1
278,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0
279,0.59,0.61,0.48,0.5,0.42,0.42,0.37,0
280,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
281,0.67,0.61,0.48,0.5,0.51,0.37,0.38,0
282,0.51,0.5,0.48,0.5,0.46,0.32,0.35,0
283,0.64,0.78,0.48,0.5,0.5,0.36,0.38,0
284,0.59,0.49,0.48,0.5,0.52,0.45,0.36,0
285,0.78,0.33,0.48,0.5,0.57,0.77,0.79,1
286,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0
287,0.62,0.83,0.48,0.5,0.46,0.36,0.4,0
288,0.44,0.51,0.48,0.5,0.47,0.26,0.36,0
289,0.52,0.36,0.48,0.5,0.41,0.28,0.38,0
290,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0
291,0.31,0.23,0.48,0.5,0.73,0.05,0.14,0
292,0.47,0.47,0.48,0.5,0.22,0.16,0.26,0
293,0.6,0.5,1,0.5,0.54,0.77,0.8,0
294,0.61,0.66,0.48,0.5,0.46,0.87,0.88,0
295,0.84,0.54,0.48,0.5,0.75,0.92,0.7,1
296,0.29,0.41,0.48,0.5,0.48,0.38,0.46,0
297,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0
298,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0
299,0.65,0.55,0.48,0.5,0.34,0.37,0.28,0
300,0.31,0.47,0.48,0.5,0.29,0.28,0.39,0
301,0.47,0.59,0.48,0.5,0.52,0.76,0.79,0
302,0.24,0.34,0.48,0.5,0.38,0.3,0.4,0
303,0.78,0.68,0.48,0.5,0.83,0.4,0.29,0
304,0.71,0.46,1,0.5,0.52,0.59,0.3,0
305,0.26,0.5,0.48,0.5,0.44,0.32,0.41,0
306,0.63,0.49,0.48,0.5,0.54,0.76,0.79,0
307,0.4,0.45,0.48,0.5,0.38,0.22,0,0
308,0.34,0.55,0.48,0.5,0.58,0.31,0.41,0
309,0.36,0.47,0.48,0.5,0.51,0.69,0.72,0
310,0.25,0.51,0.48,0.5,0.37,0.42,0.5,0
311,0.7,0.53,0.48,0.5,0.7,0.86,0.87,1
312,0.23,0.48,0.48,0.5,0.59,0.88,0.89,0
313,0.52,0.39,0.48,0.5,0.65,0.71,0.73,0
314,0.36,0.56,0.48,0.5,0.43,0.45,0.53,0
315,0.4,0.42,0.48,0.5,0.37,0.27,0.27,0
316,0.61,0.47,0.48,0.5,0,0.8,0.32,0
317,0.48,0.49,0.48,0.5,0.52,0.77,0.71,0
318,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0
319,0.34,0.67,0.48,0.5,0.52,0.76,0.79,0
320,0.17,0.39,0.48,0.5,0.53,0.3,0.39,0
321,0.69,0.59,0.48,0.5,0.77,0.39,0.21,0
322,0.67,0.37,0.48,0.5,0.54,0.64,0.68,1
323,0.12,0.43,0.48,0.5,0.63,0.7,0.74,0
324,0.74,0.9,0.48,0.5,0.57,0.53,0.29,0
325,0.71,0.52,0.48,0.5,0.64,1,0.99,0
326,0.7,0.71,0.48,0.5,0.42,0.84,0.85,0
327,0.33,0.56,0.48,0.5,0.33,0.78,0.8,0
328,0.49,0.43,0.48,0.5,0.49,0.3,0.4,0
329,0.52,0.54,0.48,0.5,0.62,0.76,0.79,0
330,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0
331,0.46,0.61,0.48,0.5,0.48,0.86,0.87,0
332,0.64,0.81,0.48,0.5,0.37,0.39,0.44,0
333,0.71,0.71,0.48,0.5,0.68,0.43,0.36,0
334,0.53,0.38,0.48,0.5,0.44,0.26,0.36,0
335,0.86,0.39,0.48,0.5,0.59,0.89,0.9,1
336,0.57,0.59,0.48,0.5,0.39,0.47,0.33,0
